DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4254.8,236.7741,71.7368,133.5891,2.7071,137.5234,14.451,15.1818,14.5476,3.365,20.4156,4.7392,0.9628,125.6042,0.01,10.0
4254.9,236.7556,71.6178,133.2904,2.7072,137.3002,13.3297,15.3253,14.6878,3.281,20.1668,5.0432,0.9291,125.52,0.01,10.0
4255.2,235.726,71.3884,132.4904,2.71,135.2852,15.3508,15.9789,15.2998,3.0257,19.1801,5.8591,0.9286,125.2601,0.01,10.0
4255.3,235.3893,71.3414,132.2828,2.7155,135.4826,16.6439,16.1156,15.4253,3.0086,18.8162,5.9544,0.9595,125.2551,0.01,10.0
4255.4,235.1867,71.3182,132.0703,2.7209,136.0633,17.425,16.1712,15.4731,3.0225,18.4988,5.971,0.9871,125.0807,0.01,10.0
4255.6,235.0748,71.2878,131.5334,2.7236,135.5161,17.456,16.1303,15.4264,3.1208,17.6347,6.0317,0.957,124.81,0.01,10.0
4255.7,235.0218,71.2728,131.2282,2.7215,134.5534,17.1187,16.1346,15.4305,3.1859,17.0974,6.1014,0.9701,124.5221,0.01,10.0
4255.8,234.8626,71.1975,131.0959,2.7178,134.1965,16.9488,16.2189,15.5124,3.2376,16.6089,6.195,0.9089,124.5107,0.01,10.0
4256.2,233.1543,71.1899,129.6511,2.6989,137.9087,17.0966,17.0319,16.2801,3.1786,15.9824,6.7207,0.9512,123.6026,0.01,10.0
4256.5,233.0087,70.4497,128.0142,2.7068,136.5537,17.8162,17.646,16.8507,3.0802,16.059,6.8775,0.9342,123.3544,0.01,10.0
4256.8,232.6679,69.625,125.8336,2.7089,137.192,18.0319,18.2103,17.3808,3.0678,16.5316,6.555,0.9194,122.791,0.01,10.0
4256.9,231.7637,69.303,125.1367,2.7094,136.3723,17.7053,18.4484,17.6119,3.0796,16.8784,6.321,0.9194,122.6526,0.01,10.0
4257.1,229.2545,68.699,123.9994,2.7065,132.3981,16.9056,19.0843,18.2256,3.0652,17.6064,5.8161,0.9147,122.6402,0.01,10.0
4257.2,228.131,68.3696,123.4733,2.7045,130.8123,16.7454,19.4955,18.6187,3.0411,17.7699,5.6504,0.9065,122.7301,0.01,10.0
4257.3,227.2895,68.1214,123.0406,2.7038,129.5732,16.9623,19.9658,19.0671,3.0226,17.7385,5.5211,0.9067,122.737,0.01,10.0
4257.4,226.6463,67.9371,122.6781,2.7041,128.0142,17.4425,20.4844,19.5589,3.0239,17.4339,5.4425,0.8757,122.7101,0.01,10.0
4257.5,226.1,67.8184,122.389,2.7035,126.3183,17.9506,21.0019,20.0464,3.03,17.0133,5.389,0.9068,122.6191,0.01,10.0
4257.6,225.5535,67.7203,122.2385,2.701,125.0433,18.1578,21.4713,20.4835,3.0374,16.5894,5.3772,0.8969,122.612,0.01,10.0
