DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4088.4,237.3777,71.57,131.2241,2.689,131.6925,16.5842,13.0556,10.1186,3.4912,14.127,5.5205,23.9975,111.7506,0.0,10.0
4088.5,236.7684,71.3891,131.1086,2.6835,131.9906,16.4888,13.0551,10.1714,3.4154,13.6597,5.8352,23.9935,111.7955,0.0,10.0
4088.6,235.6647,71.1624,130.9119,2.6769,131.3177,16.4087,13.056,10.2416,3.3287,13.0587,6.2024,23.9665,111.8493,0.0,10.0
4089.0,231.5014,70.2753,129.5036,2.6777,126.1278,16.7997,13.0601,10.4351,3.1671,12.0218,6.7014,23.9536,112.2351,0.0,10.0
4089.6,231.6958,71.2374,128.7257,2.6893,125.2485,17.1612,12.7877,9.7347,2.9183,13.1113,6.5299,24.0201,112.4042,0.0,10.0
4090.5,231.5935,71.5081,129.048,2.6776,124.9964,18.2406,12.5833,10.1061,3.3177,12.001,5.6258,24.0146,112.2414,0.0,10.0
4090.9,233.3963,71.6555,129.6406,2.68,125.4063,18.6418,12.353,9.1395,3.4296,11.4452,5.8173,24.0322,112.1187,0.0,10.0
4091.0,234.4213,71.7523,130.0526,2.6763,126.1644,18.6056,12.234,9.1529,3.4241,11.4207,5.884,24.017,112.0186,0.0,10.0
4091.1,235.4352,71.8621,130.5067,2.6747,126.3326,18.4906,12.0949,9.2164,3.408,11.5171,5.9084,24.022,111.9063,0.0,10.0
4091.2,236.2669,71.9907,131.0007,2.6749,125.9734,18.3081,11.9566,9.4432,3.3851,11.6932,5.9051,24.0082,111.7933,0.0,10.0
4091.3,236.8455,72.1308,131.4455,2.6762,125.2444,18.0855,11.8434,9.6013,3.3629,11.87,5.8926,24.0125,111.6887,0.0,10.0
4091.4,237.1249,72.2835,131.8499,2.6783,124.4004,17.865,11.7538,9.7337,3.3488,12.0027,5.8765,24.0423,111.5963,0.0,10.0
4091.7,236.4947,72.9401,132.6771,2.6897,123.8061,17.8157,11.4894,9.5894,3.3399,12.2907,5.8684,24.0336,111.3784,0.0,10.0
4091.8,236.3389,73.2043,132.856,2.6912,125.1888,18.0866,11.4181,9.5343,3.3323,12.3998,5.9271,24.0389,111.3046,0.0,10.0
